var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v784c_0	1.15964033055283	0.587565224013313	0.0495798267361847	0.00206858796958809	0.114999853707572	v784c	place for aids test: public vct center
v784c_1	-1.13760349116876	0.587769109758263	0.0541185030333305	0.00197826767995124	0.124532593350865	v784c	place for aids test: public vct center
v784c_9	-12.5322880029825	0.44494789766193	9.750212e-78	1.15367255311138e-4	7.373597825e-77	v784c	place for aids test: public vct center
v784g_0	2.13365334254761	1.0491281890131	0.0430872891397184	0.00144622819730045	0.101234213318562	v784g	place for aids test: cs public national lab
v784g_1	-2.07772552874563	1.05112083368591	0.0492327151725581	0.00133908660916304	0.114377443888887	v784g	place for aids test: cs public national lab
v784g_9	-12.5322880029825	0.44494789766193	9.750212e-78	1.15367255311138e-4	7.373597825e-77	v784g	place for aids test: cs public national lab
v784k_0	-0.422346985734243	0.886529739721356	0.634223113489035	2.0672065499816e-4	0.793529944713649	v784k	place for aids test: private hosp/clinic/doctor
v784k_1	0.487058964183184	0.888103636848184	0.583913612128559	2.70077642569033e-4	0.766688632896866	v784k	place for aids test: private hosp/clinic/doctor
v784k_9	-12.5322880029825	0.44494789766193	9.750212e-78	1.15367255311138e-4	7.373597825e-77	v784k	place for aids test: private hosp/clinic/doctor
v784l_0	2.14244186171985	1.03691758350489	0.0398952910785956	0.00125159271853281	0.0939999321476103	v784l	place for aids test: private vct center
v784l_1	-2.07810244673859	1.038729541044	0.0465694313982857	0.00114527224567296	0.108711920241657	v784l	place for aids test: private vct center
v784l_9	-12.5322880029825	0.44494789766193	9.750212e-78	1.15367255311138e-4	7.373597825e-77	v784l	place for aids test: private vct center
v784p_0	-0.645208920784435	0.765852855919346	0.400370097013111	2.2402967675883e-4	0.615823496676946	v784p	place for aids test: cs private medical center
v784p_1	0.818975100184415	0.766228864682704	0.286225194066023	3.43333853220162e-4	0.498320122043004	v784p	place for aids test: cs private medical center
v784p_9	-12.5322880029825	0.44494789766193	9.750212e-78	1.15367255311138e-4	7.373597825e-77	v784p	place for aids test: cs private medical center
v784q_0	13.8927213271525	0.369703378639302	4.735977e-102	8.52914257989612e-4	6.36725796666667e-101	v784q	place for aids test: cs private social & medical center
v784q_1	-13.9805065388801	0.412282772614521	4.228274e-93	7.35052192750607e-4	4.61613071278195e-92	v784q	place for aids test: cs private social & medical center
v784q_9	-12.5322880029825	0.44494789766193	9.750212e-78	1.15367255311138e-4	7.373597825e-77	v784q	place for aids test: cs private social & medical center
v784r_0	0.162320763706361	0.740292743217228	0.826631051528246	1.57944491752104e-5	0.907266186922117	v784r	place for aids test: cs private association for family wellb
v784r_1	-0.072350336910622	0.744037367031219	0.922617487595683	3.04935095518655e-6	0.957570115789086	v784r	place for aids test: cs private association for family wellb
v784r_9	-12.5322880029825	0.44494789766193	9.750212e-78	1.15367255311138e-4	7.373597825e-77	v784r	place for aids test: cs private association for family wellb
v784x_0	12.6622791063093	0.40486914406645	2.885983e-86	2.70219233650781e-4	2.81238074899329e-85	v784x	place for aids test: other
v784x_1	-12.7878695506079	0.60008683818795	4.315385e-57	1.54332801784784e-4	2.0212706516129e-56	v784x	place for aids test: other
v784x_9	-12.5322880029825	0.44494789766193	9.750212e-78	1.15367255311138e-4	7.373597825e-77	v784x	place for aids test: other
v785_0	-1.44427825931461	1.02862748532105	0.161597727579544	6.96148783329353e-4	0.321424521158216	v785	heard about other stds
v785_1	1.50417290409111	1.02959633269305	0.145352302964096	7.73238908432949e-4	0.296420707730151	v785	heard about other stds
v785_9	-11.8538198246085	0.777004675062615	4.131647e-37	9.6753944501482e-5	1.30700467189542e-36	v785	heard about other stds
v820_0	-0.359127546675054	1.02565053426835	0.726576672894455	1.73307355917918e-4	0.860513318958196	v820	condom used at first sexual intercourse
v820_1	0.74408944818528	1.03566258120462	0.473260429245864	7.06984292250468e-4	0.689187033001181	v820	condom used at first sexual intercourse
v820_8	-12.4895936992849	1.13862001300373	1.827817e-22	4.64892389000493e-5	5.08427257471264e-22	v820	condom used at first sexual intercourse
v820_9	-14.6477267679439	0.572253968827278	8.919159e-67	8.43106654065395e-4	5.37370077510373e-66	v820	condom used at first sexual intercourse
v823_0	0.30745478596629	0.333755447691129	0.357879982943241	4.07574153371781e-4	0.578665629436064	v823	can get aids by witchcraft or supernatural means
v823_1	-0.243171527236109	0.335848984246505	0.469746014462657	2.32914214382762e-4	0.68549870653244	v823	can get aids by witchcraft or supernatural means
v823_8	-0.352133031416095	0.492788402694167	0.475573535327452	1.68552811080636e-4	0.689187033001181	v823	can get aids by witchcraft or supernatural means
v823_9	1.17636000013437	1.12456172682238	0.296594157821471	1.91642122247759e-4	0.510859688204954	v823	can get aids by witchcraft or supernatural means
v824_0	-0.415343332767697	0.374589555338107	0.268637449844769	4.9672467666162e-4	0.473375700454617	v824	drugs to avoid aids transmission to baby during pregnancy
v824_1	-0.123310541335203	0.35666280050283	0.729847854994283	6.18842528639085e-5	0.862979711279885	v824	drugs to avoid aids transmission to baby during pregnancy
v824_8	0.549377121950609	0.381388284515214	0.151049603952944	0.00100530210283356	0.305040368483553	v824	drugs to avoid aids transmission to baby during pregnancy
v824_9	-10.671393485408	0.789953398192467	3.005e-31	3.78691023998901e-5	9.1281589958159e-31	v824	drugs to avoid aids transmission to baby during pregnancy
v825_0	-0.50257555566701	0.338147177020356	0.138533105477568	7.64934240418458e-4	0.284512120443322	v825	would buy vegetables from vendor with aids
v825_1	0.55983288971237	0.333895145586657	0.0949194418462503	9.71277503124091e-4	0.207877872640657	v825	would buy vegetables from vendor with aids
v825_8	-1.31157541792547	1.03871291522344	0.207935320438965	1.80057638028974e-4	0.394154158325558	v825	would buy vegetables from vendor with aids
v825_9	-11.6908832223485	0.466294831784757	9.875302e-69	1.12875485851704e-4	6.31671299735683e-68	v825	would buy vegetables from vendor with aids
v826_1	0.345047791251494	0.664063308341585	0.603925197204612	6.51407984556318e-4	0.778773877745201	v826	when was last time you were tested
v826_2	0.0290173182963044	0.841542367022122	0.972528414286633	2.46666670355999e-6	0.978594080072204	v826	when was last time you were tested
v826_3	-0.373353085226979	0.663379871866519	0.574208035689227	7.03213128293689e-4	0.762795348944415	v826	when was last time you were tested
v826_9	-11.6087209509227	0.686342587276728	3.129792e-40	1.08045284027636e-4	1.03048933877551e-39	v826	when was last time you were tested
v827_1	-0.574464105086864	0.605729294131726	0.344095821764884	0.00167394639093432	0.568562809778583	v827	last test was on your own, offered or required
v827_2	0.209754472590774	0.780745442090729	0.788473061116098	2.14699665551321e-4	0.885444903238016	v827	last test was on your own, offered or required
v827_3	0.227128162998519	0.720149854438964	0.752799298887214	2.20816290249504e-4	0.873434112995705	v827	last test was on your own, offered or required
v827_9	3.40569239909443	1.30476755295702	0.00974458665016758	0.00462055155568619	0.0243530805783878	v827	last test was on your own, offered or required
v828_0	0.66850787277859	0.651259965383709	0.305922279870129	0.00174449891607664	0.523202768399797	v828	did get results for last test
v828_1	-0.557220606638086	0.650499530010865	0.392704461323428	0.00123728656429678	0.607896458253324	v828	did get results for last test
v828_9	-13.8485335562926	0.49888767319744	5.236403e-70	7.04498427789968e-4	3.39431123035714e-69	v828	did get results for last test
v829_11	0.483546895839729	0.6234130688385	0.438889066575782	0.00116150103821011	0.654950590614631	v829	place were last aids test was taken
v829_12	-0.168093957364438	1.09054920822848	0.877659522964991	2.56043412213414e-5	0.939682909951251	v829	place were last aids test was taken
v829_13	-0.62932066069892	1.07276898476289	0.55812247586665	3.71606187684725e-4	0.753154121708528	v829	place were last aids test was taken
v829_14	0.210494015740488	0.788198903417112	0.789704648549057	1.24075170201743e-4	0.885444903238016	v829	place were last aids test was taken
v829_21	-15.0181260027557	0.472618718104512	1.813003e-79	0.00173351851409909	1.48727703728814e-78	v829	place were last aids test was taken
