var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv101_05_2	-11.5146988826525	0.690274544351794	1.400601e-44	1.02568334611974e-4	7.50220087576375e-44	hv101_05	relationship to head
hv101_05_3	-0.535282104874316	0.548079125400184	0.329534044136838	0.00138260082897235	0.539984134629211	hv101_05	relationship to head
hv101_05_4	2.00766678273447	0.652343914459669	0.00228062824433717	0.00124518011355013	0.00661306756626985	hv101_05	relationship to head
hv101_05_5	-1.05964561765416	0.672645383286723	0.11623882947662	9.29143325279824e-4	0.243592128703992	hv101_05	relationship to head
hv101_05_6	-12.9867958513433	0.673902328474324	2.660254e-54	3.68613409721497e-4	1.80787287338501e-53	hv101_05	relationship to head
hv101_05_7	6.00867863083132	1.4717811635938	5.72644193057162e-5	0.0188784748719548	1.72514802719397e-4	hv101_05	relationship to head
hv101_05_8	1.73797614685925	0.969743391237476	0.0741149220186242	0.00475885683545685	0.167315231681529	hv101_05	relationship to head
hv101_05_10	-0.512690789690442	0.581248235351133	0.378459954053922	6.01823678083591e-4	0.58896430719634	hv101_05	relationship to head
hv101_05_11	0.21658093008169	0.658726746712705	0.742547462631752	4.18278357355861e-5	0.879288530716573	hv101_05	relationship to head
hv101_05_12	-13.8212942888157	0.45063972368534	3.399934e-94	9.68213302293686e-4	6.9316483875969e-93	hv101_05	relationship to head
hv101_06_2	1.04079845610788	1.23910913783293	0.40163163229466	2.05906198859296e-4	0.614122786590091	hv101_06	relationship to head
hv101_06_3	-0.159960488166781	0.568368923635784	0.778577451793875	9.38929704460412e-5	0.895738713131186	hv101_06	relationship to head
hv101_06_4	-12.2641571994939	0.535801895718136	1.081894e-66	1.90066838215763e-4	1.06568585018727e-65	hv101_06	relationship to head
hv101_06_5	-0.954650815163145	0.802720100084951	0.235316483797137	0.00101217099024775	0.421294998220878	hv101_06	relationship to head
hv101_06_6	-9.11789553506195	1.04406204010052	2.087915e-16	7.9719400752909e-6	6.67219495747266e-16	hv101_06	relationship to head
hv101_06_7	-14.0412255860915	0.735054258554147	4.663835e-53	5.11089646503704e-4	3.0664715125e-52	hv101_06	relationship to head
hv101_06_8	2.15310280867795	1.00448229279021	0.0329137858501657	0.00565673724871329	0.0837979252526	hv101_06	relationship to head
hv101_06_10	-0.28589528829233	0.572073388322855	0.617632057594429	1.46735851419444e-4	0.791102966214129	hv101_06	relationship to head
hv101_06_11	0.513218101861374	0.854671491099641	0.548656394606515	1.81867878553787e-4	0.738189358180239	hv101_06	relationship to head
hv101_06_12	0.314146287345065	1.09780710675605	0.774963553410886	2.99727489727619e-5	0.893927256785364	hv101_06	relationship to head
hv101_07_2	-11.1139927153725	0.798811659857827	1.83163e-33	4.56386181660884e-5	7.52685453125e-33	hv101_07	relationship to head
hv101_07_3	-0.151807742005248	0.537501754314678	0.777831028387513	7.77776398773744e-5	0.895271599413199	hv101_07	relationship to head
hv101_07_4	-13.5768101569017	0.613155650923888	2.185088e-62	5.02234836677995e-4	1.77369797530864e-61	hv101_07	relationship to head
hv101_07_5	-0.264618604686622	0.644678003305227	0.68179309981139	1.29109272143713e-4	0.841838428405613	hv101_07	relationship to head
hv101_07_6	-11.1895380016675	0.938684035119043	1.497385e-26	2.80861111089381e-5	5.45446336565097e-26	hv101_07	relationship to head
hv101_07_7	-10.0038645465873	0.801462160370414	1.788408e-28	1.74189005783809e-5	6.7676446618705e-28	hv101_07	relationship to head
hv101_07_8	2.29385022957882	1.00431129904276	0.0231566853101931	0.00779207285489814	0.0607199225980138	hv101_07	relationship to head
hv101_07_10	-1.55023078902464	0.800609303980478	0.053884538722318	0.00234555409150405	0.129185357192066	hv101_07	relationship to head
hv101_07_11	-0.132594245941903	1.09063879219078	0.90332718052606	7.16590625526869e-6	0.961453049285123	hv101_07	relationship to head
