nodes.female,keep
ml0_1_1,0
v150_13,0
v762bl_1,0
v762bu_1,1
v762af_9,0
hc8_1,0
hc8_2,0
hc11_1,0
hc11_2,0
ha67,0
v605_1,1
v605_2,1
v024_11,0
v124_0,0
hml7_1_11,0
v023_2,0
v840_0,0
d106_0,1
d107_0,1
d118j_1,0
hv113_02_1,0
hv125_01_1,0
ha65_2_1,0
ha68_3_0,0
hb63_2_1,0
hc17_01,0
hc17_02,0
hc18_01,0
hc18_02,0
ha5_01,0
ha5_02,0
ha5_03,0
hc6_01,0
hc6_02,0
hc9_01,0
hc9_02,0
hc12_01,0
hc12_02,0
hv213_34,1
v127_22,1
v156_1,0
m48_1_1,0
m55i_1_1,0
h32y_1_1,0
hv109_01_3,0
hv109_12_3,0
hv111_11_1,0
ha54_01_1,0
v119_9,0
v161_11,1
v447_9,0
m10_1_9,0
m55f_1_9,0
m57b_1_9,0
m57g_1_9,0
h8_1_9,0
h8_1_3,0
v784c_9,0
sh17a_01_1,0
hv116_01_9,0
hv116_04_9,0
hv121_11_2,0
sh19a_07_1,0
hiv02,0
hv123_07,0
ha11_1,0
sh110i_1,0
v150_10,0
m2h_1_1,0
m66_1_0,0
v762bv_1,0
hv106_08_9,0
v762ap_9,0
v535_1,0
hc13_2_0,0
hc68_1_1,0
hc68_2_1,0
hml4_1,1
hv128_08,0
v024_12,0
v139_12,0
v149_4,0
hml8_1_0,0
v023_1,0
v023_3,0
v023_4,0
v023_5,0
v023_7,0
v023_9,0
v023_10,0
v023_11,0
v023_12,0
v023_13,0
v023_14,0
v023_15,0
v3a08u_1,0
h22_2_1,0
d115k_1,1
d119y_1,0
hv111_02_1,0
ha63_2_3,0
ha68_2_2,1
ha68_3_1,0
hml20_09_0,1
hml20_09_1,0
hml12_10_1,0
hml17_10_1,0
hv123_03,0
hv212_9,0
v166_0,0
v166_7,0
v166_995,0
v166_997,0
v149_2,0
v304_04_1,0
v3a00r_1,0
h0_1_1,0
h32a_1_1,0
h32b_1_1,0
hv122_12_0,0
ha54_02_1,0
hv122_01_9,0
hv237z_8,0
sh110h_1,0
sh110l_1,0
sh110m_1,0
v501_1,0
v463d_9,0
h7_1_9,0
v626a_1,1
v762at_9,0
v784l_9,0
v850b_1,0
sh17a_08_1,0
hv109_12_1,0
hv116_02_9,0
hv116_03_9,0
hv116_05_9,0
hv122_05_9,0
hml7_1_96,1
hml7_2_96,0
hv121_9,0
hc3_2,0
v120_9,0
v129_24,0
v380_8,0
v784p_9,0
v455_3,0
hv237d_1,0
hc13_1_0,0
hv128_07,0
hv125_01_0,0
hb32_3,0
hml12_03_0,0
v023_6,0
v023_16,0
v023_17,0
v023_18,0
d101f_1,0
d118b_1,0
hv125_10_1,0
ha68_1_2,0
hb63_2_3,0
hb63_3_1,0
hml12_09_1,0
hml20_10_0,1
hml20_10_1,0
ha55_0,0
hv128_02,0
hv128_09,0
v166_994,0
hv110_1,0
v447_3,0
h34_2_1,0
hv113_11_1,0
hv120_12_1,0
ha55_03_0,0
ha54_03_1,0
hc27_01_2,0
hc27_02_2,0
hv101_01_2,0
hw1_2,0
ha55_02_0,0
v129_13,0
sh110g_1,0
ha66_3,0
hml17_1,0
v452c_3,0
v457_9,1
hml7_96,0
hv101_02_2,0
v312_13,1
v3a00m_9,0
m55i_1_9,0
v463x_9,0
v762ae_9,0
v769a_1,0
v784n_9,0
v838b_9,0
hv109_12_5,0
hv122_06_9,0
hb68_02_0,0
hml7_1_99,0
ha3_1,0
ha3_2,0
v127_99,0
sh19a_1,0
v3a00o_9,0
hml12_01_1,0
hml12_02_1,0
v481x_1,1
v762ar_1,0
v762bp_1,0
ha4_1,0
v150_14,0
m3i_1_1,0
v770b_1,0
hv106_07_9,0
v762aq_9,0
v474x_1,0
v855_1,0
d110a_1,0
d110b_1,0
hmlc_1,0
ha69_2,0
hv128_06,0
hml10_1_0,0
v3a08v_1,0
m3c_2_1,0
m57i_1_1,0
d118f_1,0
d118x_1,0
ha54_3_1,0
ha63_3_1,0
ha68_1_3,0
ha68_2_3,0
ha68_3_2,0
hb65_3_1,0
hb50_3_2,0
hb68_3_0,0
hb68_3_1,1
hv041,0
