nodes.male,keep
sh100_71,0
sh100_96,0
sh102_1,0
sh102_2,0
sh102_4,0
sh102_8,0
sh102_7,0
slage_1,0
shlangq_4,0
sh101_11,0
sh101_12,0
sh101_13,0
sh101_91,0
sh101_93,0
sh101_96,0
sh108cb_9,0
sh108cc_9,0
sh108cd_9,0
sh108ce_9,0
sh108cf_9,0
sh108ch_9,0
sh108cx_9,0
sh111u_9,0
sh137ba_9,0
sh137bb_9,0
sh137bc_9,0
sh137bd_9,0
sh137bx_9,0
hml17_01_6,0
hv125_01_0,0
sh545_1_1,0
hb65_1_2,0
hb68_1_9,0
shlocal_0,0
v007,0
v031,0
v032,0
v012,0
v010,0
v005,0
v026_0,0
v026_1,0
v026_3,0
v026_2,0
hv202_71,0
shlangin_1,0
shlangin_2,0
slangq_2,0
slangint_2,0
slangint_1,0
v106_0,0
v149_3,0
v149_5,0
v312_1,1
v312_2,1
v312_3,1
v312_4,1
v312_5,1
v312_6,1
v312_7,1
v312_11,1
v313_0,0
v313_1,0
v502_1,0
shetime,0
hb5,0
hb53_01,0
hb61_01,0
sh105_0,0
sh105_8,0
sh16_2,0
sh16_01_2,0
v004,0
v021,0
mv005,0
v008a,0
mv136,0
v016,0
hb21,0
v028,1
v152,1
v191,0
mv012,0
hivage,0
mv010,0
v628,0
v629,0
v802,0
v501_1,0
v502_3,0
sm814a,0
sm815a,0
mv022_1,0
mv023_1,0
mv022_2,0
mv023_2,0
mv022_3,0
mv023_3,0
mv022_4,0
mv023_4,0
mv022_5,0
mv023_5,1
mv022_6,0
mv023_6,1
mv022_7,0
mv023_7,1
mv022_9,0
mv023_9,1
mv022_10,0
mv023_10,1
mv022_11,0
mv023_11,1
mv022_12,0
mv023_12,1
mv022_13,0
mv023_13,1
mv022_14,0
mv023_14,1
mv022_15,0
mv023_15,1
mv022_16,0
mv023_16,1
mv022_17,0
mv023_17,1
mv022_18,0
mv023_18,1
v024_10,0
mv022_19,0
mv023_19,0
v024_1,0
v024_2,0
v024_3,0
v024_4,0
v024_5,0
v024_6,1
v024_7,0
v024_9,0
v025_1,0
v025_2,0
hv045b_1,0
v190_1,0
v190_2,0
v190_3,0
v190_4,0
v190_5,0
s121g_0,0
s121g_1,0
s121h_0,0
s121h_1,0
s121i_0,0
s121i_1,0
s121j_0,0
s121k_0,0
s121l_0,0
s121l_1,0
s121m_0,0
s121m_1,0
s121n_0,0
s121n_1,0
s121o_1,0
s121p_1,0
s121q_0,0
s121q_1,0
s121r_0,0
v135_2,0
s121g_7,0
s121h_7,0
s121i_7,0
s121j_7,0
s121k_7,0
s121l_7,0
s121m_7,0
s121n_7,0
s121o_7,0
s121p_7,0
s121q_7,0
s121r_7,0
v135_1,0
mv106_1,0
mv106_2,0
mv106_3,0
v501_0,0
v014_4,0
mv106_0,0
mv313_0,0
mv313_2,0
mv313_1,0
mv731_2,1
sh121g_1,0
sh118f_1,0
hv249_1,0
hv237e_8,0
hv237f_8,0
hv237x_8,0
sh110b_1,0
hb55_0,0
hml12_3,0
hml12_01_3,0
hb33_01_3,0
sh14_1,0
hb65_01_1,0
hml12_0,0
sh110d_1,0
sh111h_1,0
hv252_1,0
sh111g_1,0
hv046_1,0
hv243e_1,0
sh28d_1,0
hv215_31,1
sh104h_1,0
sh104i_1,0
sh110e_1,0
sh14_01_1,0
