nodes.male,keep
v744b_1,0
hv113_11_1,0
hv122_12_0,0
ha55_03_0,0
ha54_01_1,0
ha54_02_1,0
hv101_02_1,0
sh110h_1,0
sh110l_1,0
sh110m_1,0
v784b_9,0
v784c_9,0
mv307_17_1,0
hv109_01_3,0
sh17a_08_1,0
hv109_12_1,0
hv116_02_9,0
hv116_03_9,0
hv116_05_9,0
hv122_05_9,0
hml7_1_96,1
hiv02,0
v150_10,0
mv307_06_0,0
v762bj_1,0
mv510_5,1
hml12_02_1,0
v481d_1,0
v762bb_1,0
hb1,0
hb6,0
hb12,0
hb12a,0
hb12b,0
hb41,0
hc13_2_0,0
hv125_01_0,0
hb32_3,0
hml12_03_0,0
v024_12,0
hv125_10_1,0
hb63_2_3,0
hml20_10_0,1
hml20_10_1,0
hv123_05,0
hv110_1,0
hv126_9,0
v156_1,0
v304_10_1,0
hv109_12_3,0
hv120_12_1,0
ha55_01_0,0
ha55_02_0,0
ha54_03_1,0
hc27_01_2,0
hc27_02_2,0
hb69_01,0
hv253_1,0
sh110g_1,0
hb50_2,0
hml7_96,0
v784k_9,0
hv109_12_5,0
hv111_11_1,0
hv122_06_9,0
hb68_02_0,0
hml7_1_99,0
hml7_2_96,0
hv121_02_9,0
ha11_2,0
sh19a_1,0
mv307_11_0,0
v762be_1,0
hml12_01_1,0
v762bf_1,1
ha4_1,0
v784g_1,0
hv106_08_9,0
v714a_0,0
v714a_1,0
v762at_9,0
v604_0,0
hv128_06,0
hml12_04_0,0
hv253x_0,0
hv253x_8,0
ha63_3_1,0
ha68_1_3,0
ha68_2_3,0
ha68_3_2,0
hb50_3_2,0
hb68_3_0,0
hb68_3_1,1
hml10_2_0,0
hv041,0
v605_3,1
hv123_06,0
hv123_07,0
hv128_09,0
v304_13_1,0
hv110_02_1,0
hv110_03_1,0
hv110_04_1,0
hv110_05_1,0
hv110_06_1,0
hv110_07_1,0
hv110_08_1,0
hv110_09_1,0
hv126_10_0,0
hml18_05_1,0
hml19_12_1,0
ha13_01_0,0
ha13_02_0,0
hc55_01_0,0
hc55_02_0,0
hc63_01,0
hc64_01,0
hc63_02,0
hc64_02,0
v463c_9,0
v463d_9,0
v463x_9,0
v763c_9,0
v784l_9,0
hv116_06_9,0
ha68_01_0,0
ha68_02_0,0
hb68_01_0,0
hb68_03_0,0
hml7_3_96,0
hml19_11_0,0
hc19_1,0
hc19_2,0
hv122_01_9,0
ha3_3,0
ha11_3,0
ha13_3_0,0
v135_9,0
mv307_02_0,0
ha65_3_1,0
ha61_1_3,0
mv766b,0
v762aq_1,0
v762aw_1,0
v762bd_1,0
v770_1,0
v762aq_9,0
v463z_1,0
v744a_1,0
v474f_1,0
hc70_1,0
hb40,0
hc60_2,0
hc55_2_4,0
hc68_2_2,0
hb69_1,0
hml12_02_0,0
hml17_0,0
mv023_1,0
mv023_2,0
mv023_3,0
mv023_4,0
mv023_5,0
mv023_6,0
mv023_7,0
mv023_9,0
mv023_10,0
mv023_11,0
mv023_12,0
mv023_13,0
mv023_14,0
mv023_15,0
hv115_02_1,0
ha54_3_1,0
hb63_3_1,0
hb68_2_2,1
hml17_02_1,0
hv128_05,0
hv128_07,0
v149_2,0
v536_9,1
mv616,0
hml16a_04,0
hml16a_05,0
hml16a_06,0
ha11_01,0
ha13_03_0,0
hc73_01,0
hc73_02,0
hb56_01,0
hb56_02,0
hb56_03,0
sh110n_1,0
hb66_3,0
hml7_99,0
hml7_1_21,0
v784e_9,0
v784n_9,0
sh17a_07_2,0
hv121_12_2,0
ha55_02_3,0
hml7_2_99,0
hv237x_1,1
v481c_1,0
v822_1,0
hv004,0
hv021,0
hivnumb,1
idxh4,0
hv028,0
hc0_02,0
hv219_2,0
v717_0,0
v150_6,0
v762bl_1,0
v762bm_1,0
mv717_0,0
v107,0
v770a_1,0
hv116_2,0
v762ap_9,0
hv253z_8,0
v744c_1,0
hb5,0
hv253a_1,0
hc55_1_4,0
hc55_2_0,0
ha70_1,0
ha70_2,0
hb70_1,0
hb70_2,0
hv128_10,0
v024_13,0
v150_13,0
v150_14,0
v150_16,0
mv307_08_0,0
mv023_16,0
mv023_17,0
mv023_18,0
mv304_18_1,0
ha63_3_3,0
ha64_1_3,1
ha68_3_3,0
hb68_1_2,0
hb68_1_3,0
hb68_2_3,0
hb68_3_2,0
hml17_01_1,0
hv128_01,0
ha4_01,0
ha4_02,0
ha4_03,0
hv121_1,0
hv129_9,0
v304_15_1,0
v312_7,1
v307_05_1,0
v312_5,0
v313_0,0
v754z_0,1
v754z_1,0
mv762ag_1,0
hv121_03_0,1
hv121_04_0,1
hv121_05_0,1
hv121_06_0,1
hv121_07_0,0
hv121_08_0,0
hv121_09_0,0
hv121_03_1,0
hv121_04_1,0
hv121_05_1,0
hv121_06_1,0
hv121_07_1,0
hv121_08_1,0
hv121_09_1,0
hc55_02_4,0
hml16a_03,0
hml16a_07,0
ha3_01,0
ha3_02,0
ha3_03,0
hc8_01,0
hc8_02,0
hc71_01,0
hc72_01,0
hc71_02,0
hc72_02,0
sh110o_1,0
v762az_11,0
v784d_9,0
ha55_01_3,0
ha61_01_1,0
ha61_01_3,0
ha61_03_1,0
ha68_01_1,0
ha68_02_1,0
ha68_03_0,0
hc68_01_0,0
hc68_02_0,0
hb50_01_2,0
hb50_02_2,0
hb68_02_1,0
hb68_03_1,0
hml7_3_99,0
