nodes.female,keep
ml101_3,1
v213_0,1
v213_1,0
v623_1,0
v625_1,0
v139_97,0
v140_7,0
v361_1,0
v364_1,0
v623_2,0
v625_2,0
ha65_1_1,0
ha3,0
hv213_34,0
ha41,0
sh110h_1,0
ha50_01_2,0
ha54_01_1,0
hv237z_8,0
sh110g_1,0
sh110l_1,0
hv226_8,0
sh110m_1,0
ha33_1_3,0
hv253x_8,0
sh110n_1,0
ha33_3,0
hv116_01_2,0
hv252_1,0
hml12_0,0
sh121g_1,0
sh110o_1,0
sh118f_1,0
ha33_01_3,0
hv249_1,0
sh110b_1,0
hv253z_8,0
ha13_1_0,1
v014_3,0
v030,0
sh111a_1,0
hv234a_1,0
hv234a_6,1
hv234a_3,0
hv126_01_2,0
hv246g,0
hv246i,0
hv246c_99,0
shdistr_42,0
shcounci_1,0
sh138_1,0
sh138_2,0
sh138_3,0
sh138_6,0
sh138_4,0
sh138_9,0
hv237x_0,1
sh23_0,0
sh23_9,0
sh23_01_0,0
sh23_01_9,0
sh102_11,0
sh102_12,0
sh102_13,0
sh102_21,0
sh102_31,0
sh102_32,0
sh102_41,0
sh102_42,0
sh102_81,0
sh102_51,0
sh102_61,0
sh102_71,0
sh102_92,0
sh102_96,0
sh102_99,0
sh110i_9,0
sh110j_9,0
hv243a_9,0
hv237e_0,0
sh123ac_9,0
sh123ad_9,0
sh123ae_9,0
sh123af_9,0
sh123ag_9,0
hv247_9,0
sh121e_9,0
hv030_66,0
sh108a_1,0
sheduc_3,0
sheduc_9,0
sheduc_1,0
sheduc_2,0
sheduc_01_0,0
sheduc_01_3,0
sheduc_01_9,0
sheduc_01_1,0
sheduc_01_2,0
hv244_8,0
sh100_11,0
sh100_12,0
sh100_13,0
sh100_33,0
sh100_23,0
sh100_41,0
sh100_42,0
sh100_51,0
sh100_61,0
sh100_71,0
sh100_96,0
sh102_1,0
sh102_2,0
sh102_4,0
sh102_8,0
sh102_7,0
shlangq_4,0
sh101_11,0
sh101_12,0
sh101_13,0
sh101_91,0
sh101_93,0
sh101_96,0
hv244_9,0
sh108cb_9,0
sh108cc_9,0
sh108cd_9,0
sh108ce_9,0
sh108cf_9,0
sh108ch_9,0
sh108cx_9,0
sh111u_9,0
sh137ba_9,0
sh137bb_9,0
sh137bc_9,0
sh137bd_9,0
sh137bx_9,0
shlocal_0,0
v007,0
v031,0
v032,0
v026_0,0
hv026_1,0
v026_1,0
v026_3,0
v026_2,0
hv202_71,0
shlangin_1,0
shlangin_2,0
slangint_1,0
shetime,0
hv024_8,1
sh105_0,0
sh105_8,0
sh16_2,0
sh16_01_2,0
v004,0
v021,0
v008a,0
v016,0
v028,1
v152,1
v191,0
hivage,0
v628,0
v629,0
