src,target,PearsonC,pearson,spearman,country,year
v190,mv133,0.513997793356868,0.5327762160539448,0.5361786443773029,Ghana,2014
v190,hv106,0.4541250187990111,0.3935409572739843,0.426221704123603,Kenya,2003
v190,mv133,NA,NA,NA,Kenya,2003
v190,hv106,0.5071949724474094,0.47405890922439725,0.4919581054420915,Kenya,2008-09
v190,mv133,NA,NA,NA,Kenya,2008-09
v190,hv106,0.4179460996510616,0.4225318944109082,0.42857457379411507,Lesotho,2004
v190,mv133,NA,NA,NA,Lesotho,2004
v190,hv106,0.4752417572439462,0.37524432920456224,0.47833356598946,Lesotho,2009
v190,mv133,NA,NA,NA,Lesotho,2009
v190,hv106,0.4776537090647604,0.4060568951045172,0.485989405914016,Lesotho,2014
v190,mv133,0.5263110142416526,0.5291678535865258,0.5226756033497229,Lesotho,2014
v190,hv106,NA,0.3734543177920738,0.36672330493169836,Liberia,2007
v190,mv133,NA,NA,NA,Liberia,2007
v190,hv106,NA,0.4360717564091721,0.4492773422363958,Liberia,2013
v190,mv133,NA,0.29146866078906003,0.35314330217657974,Liberia,2013
v190,hv106,NA,0.372600820278888,0.3702302852417988,Malawi,2004
v190,mv133,NA,NA,NA,Malawi,2004
v190,hv106,0.41150554661579536,0.38466775552175003,0.38564458882066677,Malawi,2010
v190,mv133,NA,NA,NA,Malawi,2010
v190,hv106,0.4370182744123146,0.3756480729119148,0.43491645784463917,Malawi,2015-16
v190,mv133,0.45563343355877045,0.44411688838040003,0.45004478389645086,Malawi,2015-16
v190,hv106,0.42301346946789226,0.3702575960103619,0.3659515175510033,Mali,2006
v190,mv133,NA,NA,NA,Mali,2006
v190,hv106,0.4744576737500169,0.3223388518986015,0.32491910047382666,Mali,2012-13
v190,mv133,NA,0.5181988602603693,0.5115335152402062,Mali,2012-13
v190,hv106,0.4565949562757774,0.3265878464922101,0.45251115112012935,Mozambique,2009
v190,mv133,NA,NA,NA,Mozambique,2009
v190,hv106,0.40807068020307596,0.39223879203993656,0.41548711394920995,Namibia,2013
v190,mv133,0.4698233343120921,0.4525242570232356,0.4726583786877691,Namibia,2013
v190,hv106,NA,0.4107708134051778,0.40843916286154813,Sao_Tome_and_Principe,2008-09
v190,mv133,NA,NA,NA,Sao_Tome_and_Principe,2008-09
v190,hv106,0.42363114749674796,0.30845493849948846,0.4375956001730706,Senegal,2005
v190,mv133,NA,NA,NA,Senegal,2005
v190,hv106,0.3662576804643485,0.286462497546032,0.3666019551791812,Senegal,2010-11
v190,mv133,0.42879170162295255,0.42207754519057084,0.414034185398752,Senegal,2010-11
v190,hv106,NA,0.3296410577615185,0.40711294433274237,Swaziland,2006-07
v190,mv133,NA,NA,NA,Swaziland,2006-07
v190,hv106,0.3962293354605173,0.36407408040869926,0.36417834233583307,Tanzania,2003-04
v190,mv133,NA,NA,NA,Tanzania,2003-04
v190,hv106,0.4031545306930894,0.39337340759994205,0.40097606470202957,Tanzania,2007-08
v190,mv133,NA,NA,NA,Tanzania,2007-08
v190,hv106,0.405875122805951,0.34863158164285435,0.4161496956457896,Tanzania,2011-12
v190,mv133,NA,NA,NA,Tanzania,2011-12
v190,hv106,0.41529270650788314,0.4135185845779052,0.4056288586256786,Togo,2013-14
v190,mv133,0.49010244986778245,0.49428928317157805,0.4818802655897286,Togo,2013-14
v190,hv106,0.43466081893002323,0.3641834174116026,0.4307358534115092,Uganda,2011
v190,mv133,NA,NA,NA,Uganda,2011
v190,hv106,0.4950506723299047,0.4483770377290906,0.5076465262649287,Zambia,2007
v190,mv133,NA,NA,NA,Zambia,2007
v190,hv106,0.4936779520213012,0.5085106290472278,0.5159753283275211,Zambia,2013-14
v190,mv133,0.5369146751586765,0.5485366309390605,0.5625473687676688,Zambia,2013-14
v190,hv106,NA,NA,NA,Zimbabwe,2005-06
v190,mv133,NA,NA,NA,Zimbabwe,2005-06
v190,hv106,0.3910062387865618,0.30516441764622526,0.39063007543797307,Zimbabwe,2010-11
v190,mv133,0.453887341804551,0.44251755688606287,0.45069214444622635,Zimbabwe,2010-11
v190,hv106,0.4431394350481969,0.3946404902506173,0.4583725972864557,Zimbabwe,2015
