name,gender,beta,se,zval,pvalue,tau2,H2,k,I2,QE,QEp,mean_r2,num_surveys,category,var,var_lbl,lvl_lbl
m3n_2_9,f,-6.856733332429663,1.7024309916004434,-4.027613081681329,5.634596922093063e-5,34.06663290000119,73.51470243471483,12,98.63972788179608,808.6617267818632,2.6160427334657034e-166,6.418054539734559e-4,"(10,50]",NA,NA,NA,NA
m4_1,f,9.336799745496992e-4,0.0021541418041099623,0.43343477795579594,0.6646989393997347,2.9979518811899317e-5,1.635436335022482,20,38.854238554859236,31.07329036542716,0.03963140778399927,0.0029702046267308744,"(10,50]",NA,NA,NA,NA
m4_1_99,f,-8.150344526592312,1.5536600953238104,-5.2458993772982465,1.5552176986742184e-7,18.33951010640542,31.30689573989731,8,96.805815535631,219.14827017928116,1.0004197010950346e-43,1.2931134749483156e-4,"(3,10]",NA,NA,NA,NA
m4_2,f,0.0036836422409710487,0.0022485738595974573,1.6382126943477406,0.10137733243258384,1.1176179436559154e-5,1.164738114881057,16,14.143790159891864,17.471071723215854,0.291491930141719,0.0015435268472658236,"(10,50]",NA,NA,NA,NA
m4_2_99,f,-10.003292360153429,2.010826918410786,-4.9747157592555595,6.534344830573758e-7,15.717653485901684,53.144224568572525,4,98.11832798743787,159.43267370571758,2.429754168664861e-34,2.1768643182482042e-4,"(3,10]",NA,NA,NA,NA
m42a_1_9,f,-9.011347366673087,1.457050644967327,-6.184649379071623,6.224065125478756e-10,18.572231481865206,51.32138696702192,9,98.05149459299963,410.5710957361754,1.0254281130194276e-83,2.6903537379658395e-4,"(3,10]",NA,NA,NA,NA
m42b_1_9,f,-10.503498755825174,0.9033757037539785,-11.626944041308478,3.00669756235943e-31,6.1023355087607625,22.033216657995464,8,95.46139805402804,154.23251660596824,5.2389700712552116e-30,2.4710946261752303e-4,"(3,10]",NA,NA,NA,NA
m42c_1_9,f,-9.498668051664342,1.0171950127559721,-9.338099314829318,9.80788983428074e-21,12.854346759698592,34.688010144557474,13,97.11715951467774,416.2561217346897,1.3617964361116447e-81,1.9804291414286056e-4,"(10,50]",NA,NA,NA,NA
m42d_1_9,f,-8.462963845705765,0.9988165915622028,-8.47299085457645,2.391713667745187e-17,15.345889616151464,40.10315131542022,16,97.50643037467361,601.5472697313033,1.6655273505862685e-118,1.626461097217618e-4,"(10,50]",NA,NA,NA,NA
m42e_1_9,f,-9.679504336501523,0.8567894721767516,-11.297412784391318,1.3514087753717874e-29,9.76183616195109,32.64967253566191,14,96.93718214506518,424.4457429636048,1.52147165075116e-82,2.5660242918254127e-4,"(10,50]",NA,NA,NA,NA
m43_1_9,f,-9.99470022336159,0.8028614225695775,-12.448848509090535,1.4187729714635095e-35,8.541296537658273,32.33218658202071,14,96.9071068006391,420.31842556626924,1.1357197185627132e-81,2.9379173669915763e-4,"(10,50]",NA,NA,NA,NA
m44_1_9,f,-11.565916685056905,0.5173252135786647,-22.35714862039715,1.028791505598869e-110,0.6080953531989011,2.447077234855726,4,59.134922847706626,7.341231704567178,0.06178133245028795,1.329560068209779e-4,"(3,10]",NA,NA,NA,NA
m45_1_9,f,-8.710923618356007,0.9003200774216176,-9.6753630589943,3.837272179321498e-22,13.098148571716727,36.40084637175911,17,97.2528111303043,582.4135419481457,1.2246604685258285e-113,1.7886984200554025e-4,"(10,50]",NA,NA,NA,NA
m46_1,f,0.00107798172538976,2.11290375368713e-4,5.101896967661799,3.362658130770185e-7,0,1,38,0,33.85563137953835,0.6172509288032331,7.325768243930358e-4,"(10,50]",NA,NA,NA,NA
m47_1_9,f,-10.108546249319236,1.3455637526171516,-7.512498928168871,5.800921724398508e-14,10.389043480395795,35.70585133091798,6,97.19933858814312,178.5292566545899,1.102870706503603e-36,2.4505927635030494e-4,"(3,10]",NA,NA,NA,NA
m48_1_9,f,-10.308541738540553,1.1438857794547241,-9.011862830792865,2.0258561714609266e-19,8.765757997828787,30.61477837089361,7,96.73360366067283,183.68867022536165,5.585258402432912e-37,2.438035682121863e-4,"(3,10]",NA,NA,NA,NA
m49a_1_9,f,-6.958927503734028,1.2938433667428146,-5.378493009747213,7.511189802044338e-8,29.429832513596708,85.00404759998884,18,98.8235854312423,1445.0688091998102,3.2067510626460547e-297,2.187104311874052e-4,"(10,50]",NA,NA,NA,NA
m49b_1_9,f,-6.456620314972376,1.4153948273048673,-4.561709701360708,5.073876667003643e-6,31.35682503191625,95.70699305273128,16,98.95514427096353,1435.6048957909693,3.6157809780904654e-297,2.3358446765910082e-4,"(10,50]",NA,NA,NA,NA
m49c_1_9,f,-7.589108522490716,1.5747294753675674,-4.8193093742144475,1.4405602070980447e-6,29.055904854804957,92.00976880359163,12,98.91315888192845,1012.1074568395079,4.759460121547795e-210,2.2137274278327673e-4,"(10,50]",NA,NA,NA,NA
m49d_1_9,f,-7.789520112489393,1.2614603534118398,-6.175001926474563,6.616266394690811e-10,18.315027535045374,47.925808935474365,12,97.91344158353932,527.1838982902179,5.084616700478312e-106,1.5540268372459432e-4,"(10,50]",NA,NA,NA,NA
m49e_1_9,f,-5.460721197174927,2.4438742036859336,-2.2344526526524495,0.025453304581353933,34.901248083096185,41.16902706567225,6,97.57098947613017,205.84513532836127,1.594925622755097e-42,1.4354503619782674e-4,"(3,10]",NA,NA,NA,NA
m49f_1_9,f,-0.18740041105061345,0.6637503357677011,-0.2823356930341346,0.7776861192702285,0.3510900032351573,1.3547163526036063,3,26.183809763710535,2.7094327052072127,0.2580204709079687,2.164606888173106e-4,"(1,3]",NA,NA,NA,NA
m49g_1_9,f,-0.26832392638671565,1.1349548059490633,-0.23641815954278447,0.8131082062632082,1.6335764227758223,2.6750826170583735,2,62.61797696926312,2.6750826170583735,0.10193003638326134,3.19041264344844e-4,"(1,3]",NA,NA,NA,NA
m49x_1_9,f,-7.14353622035836,1.2339404937003042,-5.789206413784619,7.071974820389144e-9,28.2367843054092,80.35345808865172,19,98.75549848906722,1446.3622455957309,1.5838328399940394e-296,2.1001514663511825e-4,"(10,50]",NA,NA,NA,NA
m49y_1_9,f,-6.172833884258202,1.8045542027859023,-3.4206974081069292,6.246078599620423e-4,21.889022527272893,47.20147830053382,7,97.88142228590182,283.20886980320296,3.2302246945126485e-58,1.4492326488667125e-4,"(3,10]",NA,NA,NA,NA
