nodes,removeVar
sh110h_9,1
sh110i_9,1
sh110j_9,1
sh110k_9,1
sh110l_9,1
sh110m_9,1
sh110n_9,1
sh110o_9,1
sh110p_9,1
sh110q_9,1
sh111a_1,1
sh111e_9,1
sh111f_9,1
sh111g_9,1
sh111h_9,1
sh111i_9,1
sh111t_9,0
sh111u_9,1
sh112a,0
sh118e_9,1
sh118f_9,1
sh119e_9,1
sh121a_1,0
sh121b_1,1
sh121e_9,1
sh121f_9,1
sh121g_0,0
sh121g_1,0
sh121g_9,1
sh121h_0,0
sh121h_1,0
sh121i_0,0
sh121i_1,0
sh121j_0,0
sh121k_0,0
sh121l_0,0
sh121l_1,0
sh121m_0,0
sh121m_1,0
sh121n_0,0
sh121n_1,0
sh121o_1,0
sh121p_1,0
sh121q_0,0
sh121q_1,0
sh121r_0,0
sh123ab_9,0
sh123ac_9,1
sh123ad_9,1
sh123ae_9,1
sh123af_9,1
sh123ag_9,1
sh127r_1,1
sh127r_10,1
sh127r_2,1
sh127r_3,1
sh127r_4,1
sh127r_5,1
sh127r_6,1
sh127r_7,1
sh127r_9,1
sh13,1
sh13_01_0,1
sh137a_9,0
sh137ba_9,1
sh137bb_9,1
sh137bc_9,1
sh137bd_9,1
sh137bx_9,1
sh138_1,1
sh138_2,1
sh138_3,1
sh138_4,1
sh138_6,1
sh138_9,1
sh14_0,1
sh14_01_0,1
sh14_01_9,1
sh14_9,1
sh15a_0,1
sh15a_01_0,1
sh15a_01_1,1
sh15a_01_3,1
sh15a_01_9,1
sh15a_1,1
sh15a_3,1
sh15a_9,1
sh16_0,1
sh16_01_0,1
sh16_01_2,1
sh16_2,1
sh17a_0,1
sh17a_01_0,1
sh17a_01_1,1
sh17a_01_2,1
sh17a_01_3,1
sh17a_01_4,1
sh17a_1,1
sh17a_2,1
sh17a_3,1
sh17a_4,1
sh17aa_0,1
sh17aa_01_0,1
sh17aa_01_1,1
sh17aa_01_9,1
sh17aa_1,1
sh17aa_2,1
sh17aa_9,1
sh18a_0,1
sh18a_01_0,1
sh18a_01_5,0
sh18a_01_9,1
sh18a_9,1
sh19a_0,1
sh19a_01_0,1
sh19a_01_1,1
sh19a_01_2,1
sh19a_01_3,1
sh19a_01_4,1
sh19a_1,1
sh19a_2,0
sh19a_3,1
sh19a_4,1
sh19aa_0,1
sh19aa_01_0,1
sh19aa_01_1,1
sh19aa_01_2,1
sh19aa_01_9,1
sh19aa_1,1
sh19aa_2,1
sh19aa_3,1
sh19aa_9,1
sh20a_0,1
sh20a_01_0,1
sh20a_01_5,1
sh20a_01_9,1
sh20a_1,1
sh20a_3,1
sh20a_9,1
sh21_01_9,0
sh21_11,1
sh21_12,1
sh21_13,1
sh21_23,1
sh21_41,1
sh21_71,1
sh21_96,1
sh21_99,1
sh21a_0,1
sh21a_01_0,1
sh23_0,1
sh23_01_0,1
sh23_01_2,1
sh23_01_9,1
sh23_2,1
sh23_9,1
sh24a_0,1
sh24a_01_0,1
sh24a_01_1,1
sh24a_01_3,1
sh24a_01_9,1
sh24a_1,1
sh24a_3,1
sh24a_9,1
sh25j_9,1
sh25l_9,1
sh25m_9,1
sh25n_9,1
sh26_9,1
sh27a_9,1
sh27b_0,0
sh27b_9,1
sh27c_9,1
sh27d_9,1
sh27e_0,1
sh27e_9,1
sh27f_0,1
sh27f_9,1
sh27x_9,1
sh28c_0,1
sh28c_1,1
sh28d_9,1
sh28e_9,1
sh28g_9,0
sh28h_9,1
sh28j_9,1
sh31i_9,1
sh31k_9,1
sh32_1,1
sh32_11,1
sh32_12,1
sh32_3,1
sh32_4,1
sh32_5,1
sh32_7,1
sh32_8,1
sh32_96,1
sh32_99,1
sh34_9,1
sh35_1,1
sh35_2,1
sh35_3,1
sh35_4,1
sh35_5,1
sh35_9,1
sh39b_9,0
sh39d_9,1
sh41e_9,1
sh48,1
sh50_1,1
sh50_2,1
sh51,1
sh53_1,1
sh53_2,1
sh54,1
sh54_01,0
sh58_01_3,0
sh59_01_3,1
sh63w,1
sh63w_01,1
sharrond,1
shbsprov_1,1
shbsprov_2,1
shbsprov_3,1
shbsprov_4,1
shbsprov_5,1
shbsprov_6,1
shbsprov_7,1
shbsprov_8,1
shbtime,0
shcounci_1,1
shdist_1,1
shdist_10,1
shdist_11,1
shdist_2,1
shdist_3,1
shdist_4,1
shdist_5,1
shdist_6,1
shdist_7,1
shdist_8,1
shdist_9,1
shdist2_105,1
shdist2_201,1
shdist2_205,1
shdist2_206,1
shdist2_301,1
shdist2_302,1
shdist2_303,1
shdist2_305,1
shdist2_307,1
shdist2_308,1
shdistr,0
shdistr_42,1
shdistr_7,1
shecozn_1,1
shecozn_2,1
shecozn_3,1
shecozn_4,1
shedm_0,1
shedm_01_0,1
shedm_01_1,1
shedm_01_2,1
shedm_01_4,1
shedm_01_5,1
shedm_1,1
shedm_3,1
shedm_4,1
shedm_5,1
sheduc_0,1
sheduc_01_0,1
sheduc_01_1,1
sheduc_01_2,1
sheduc_01_3,1
sheduc_01_9,1
sheduc_1,1
sheduc_2,1
sheduc_3,1
sheduc_9,1
sheligdvm_0,1
sheligdvm_1,1
sheligdvw_0,0
sheligdvw_1,0
shetime,1
shhivage,1
shhivage_01,1
shhivw,1
shintcg,1
shlangi_2,1
shlangi_3,1
shlangi_4,1
shlangi_5,1
shlangi_6,1
shlangi_9,0
shlangin_1,1
shlangin_2,1
shlangq_1,0
shlangq_2,0
shlangq_3,1
shlangq_4,1
shlangq_5,0
shlangq_6,0
shlangr_3,1
shlangr_9,1
shlangua_5,1
shlangua_6,1
shlocal_0,1
shlquest_2,1
shnprovin_1,1
shnprovin_10,1
shnprovin_15,1
shnprovin_16,1
shnprovin_17,1
shnprovin_18,1
shnprovin_19,1
shnprovin_22,1
shnprovin_23,1
shnprovin_24,1
shnprovin_25,1
shnprovin_6,1
shnprovin_7,1
shnprovin_8,1
shnprovin_9,1
shpool_10,0
shpool_11,0
shpool_12,0
shpool_13,0
shpool_14,0
shpool_15,0
shpool_16,0
shpool_23,0
shpool_24,0
shpool_25,0
shpool_26,0
shpool_30,0
shpool_34,0
shpool_8,0
shpool_9,0
shreg_1,1
shreg_2,1
shregion_1,1
shregion_10,1
shregion_11,1
shregion_12,1
shregion_13,1
shregion_14,1
shregion_15,1
shregion_16,1
shregion_17,1
shregion_18,1
shregion_19,1
shregion_2,1
shregion_20,1
shregion_21,1
shregion_3,1
shregion_4,1
shregion_5,1
shregion_6,1
shregion_7,1
shregion_9,1
shregnat_5,1
shregnew_1,1
shres_01_0,1
shres_01_1,1
shresid_4,1
shurbrur_1,1
slangint_1,1
slangint_2,1
smanem,1
sprelim_2,0
sprelim_3,0
srecent_2,1
srecent_3,1
swanem,0
v001,0
v002,0
v003,0
v004,1
v005,0
v006,1
v007,1
v008,1
v008a,1
v010,0
v011,1
v012,1
v014_1,1
v014_3,1
v014_4,1
v014_6,1
v016,1
v021,1
v024_1,1
v024_10,1
v024_2,1
v024_3,1
v024_4,1
v024_5,1
v024_6,1
v024_7,1
v024_9,1
v025_1,1
v025_2,1
v026_0,1
v026_1,1
v026_2,1
v026_3,1
v028,1
v030,1
v106_0,0
v106_2,0
v106_3,0
v135_1,1
v135_2,1
v149_0,1
v149_3,1
v149_5,1
v151_1,1
v151_2,1
v152,1
v171a_0,0
v171b_0,1
v190_1,1
v190_2,1
v190_3,1
v190_4,1
v190_5,1
v191,1
v201,0
v218,1
v307_04_1,0
v312_0,0
v312_10,0
v312_4,1
v312_9,0
v313_0,1
v313_1,1
v313_2,1
v501_0,0
v501_1,0
v502_0,1
v502_1,1
v513_0,1
v627,0
v628,1
v629,1
v801,0
v802,1
